fiidex,fi_cycle,fi_bit,opcode,error_type
623,1856487350,58,fsub,SDC
3176,172665276,47,load,benign
2616,1833285184,63,load,SDC
4099,303895007,0,fcmp,benign
3307,66125751,30,load,benign
4676,1233408086,51,fmul,SDC
3623,547672512,12,sext,benign
698,1449753126,49,load,SDC
3502,84153766,4,load,benign
840,1591530322,18,fneg,benign
532,138309667,32,extractelement,benign
679,1251092079,49,load,benign
3259,882118230,52,fsub,benign
3074,401869327,59,fsub,benign
3513,1350945754,6,add,SDC
636,1055367119,22,fmul,benign
815,1636461602,59,add,SDC
3081,197405342,60,fadd,benign
3089,1896189552,33,fmul,benign
1758,1151608994,40,load,benign
619,1174716089,20,fsub,benign
3814,540517293,42,fadd,benign
3010,1676390048,13,fadd,benign
2990,388009117,99,fmul,benign
3590,1731762340,11,load,benign
2067,567670942,58,load,benign
3114,987534718,21,load,benign
969,1656749901,32,load,benign
3176,1810025116,1,load,benign
1020,820634281,41,sext,SDC
1498,150656543,56,load,benign
648,1230598247,59,fmul,benign
3047,1944344887,53,load,SDC
485,266178644,29,extractelement,benign
3089,1658792671,51,fmul,benign
3488,441070686,39,load,benign
486,1503253893,39,extractelement,benign
3488,313738249,4,load,benign
1164,1206772184,49,load,SDC
3502,1228873613,111,load,benign
1505,617025853,57,load,benign
970,142063568,63,sext,benign
3912,1306218739,7,fadd,benign
1374,302384472,35,load,benign
664,1335117754,28,load,benign
548,1721910565,73,insertelement,benign
1118,616125953,1,fadd,benign
3484,1665312193,1,load,benign
3456,352450067,4,phi,SDC
2135,500065015,29,shufflevector,benign
3480,1061463004,35,load,benign
673,2049542990,62,load,SDC
3814,1451870533,32,fadd,benign
630,50207898,52,fsub,benign
3808,264710004,4,fmul,benign
628,477844035,54,fmul,benign
3478,1906977606,4,sext,benign
1158,1168424528,51,load,benign
1114,1028173824,32,fneg,SDC
3080,1989169595,38,fadd,benign
1121,1443307088,32,fadd,SDC
4067,1680181209,19,sext,SDC
490,684607559,58,extractelement,benign
3154,497410630,0,fcmp,benign
628,414288183,13,fmul,benign
852,181314860,34,load,benign
5069,963841080,6,load,benign
603,131803368,40,extractelement,benign
662,1642714997,10,fadd,benign
2271,146897960,72,insertelement,benign
2859,797033287,5,load,benign
3092,1074995637,62,fneg,benign
3170,1169801955,1,fsub,benign
631,964512828,47,fsub,SDC
988,180666181,0,icmp,benign
1145,1126411121,36,fneg,SDC
3312,980449753,96,insertelement,benign
3475,292539652,51,phi,SDC
3093,1120684040,22,fmul,benign
3510,998109327,4,load,benign
1213,1359993107,12,load,benign
3847,289453110,2,fmul,benign
3714,1295539058,31,load,SDC
1470,779078465,17,fmul,benign
1140,195952249,10,fadd,benign
3724,91592996,28,fadd,benign
2129,1668661639,30,shufflevector,benign
2307,1464591147,27,fmul,benign
664,1904445842,56,load,benign
413,1510382125,32,fmul,benign
1155,672531076,47,fneg,SDC
469,857664567,124,fsub,benign
551,6144297,22,fmul,benign
2346,1930020734,3,load,SDC
1431,458190346,60,load,benign
3012,2058071359,41,fmul,benign
1155,1422373980,7,fneg,benign
1222,12106194,6,load,benign
3465,941856738,20,load,benign
1114,1781644958,40,fneg,SDC
3086,434115500,45,fmul,benign
653,421068818,20,fadd,benign
1870,373035103,10,fmul,benign
451,1944938666,100,fsub,benign
3309,133761023,5,load,benign
2385,1095062391,7,sext,SDC
1121,1760932397,8,fadd,benign
890,866226319,109,fmul,SDC
2233,856339632,57,load,SDC
3144,1194052957,18,call,benign
2954,1858199186,103,insertelement,SDC
655,318752429,19,load,benign
2289,1561459014,117,fmul,SDC
3724,1295574979,4,fadd,benign
3491,1117065118,49,add,SDC
3469,1762126295,42,load,SDC
1829,1533958766,60,load,SDC
671,1677761297,58,fadd,SDC
1626,1457707157,63,load,SDC
4003,1759474609,22,phi,benign
3882,766405394,14,fadd,benign
1112,975750439,8,fadd,benign
